Deyimler;Türkçe Anlamı
Tavır almak;Belli bir durum ve davranış almak.
Tavşana kaç tazıya tut;Birbirine karşı olan tarafları çatışma için kışkırtma, davranışlarında yüreklendirme
Tavşanın suyunu suyu;İki şey arasında çok uzak bir ilgi olması
Tavşan yürekli;Korkak, ürkek, çekingen
Tebdil gezmek;Tanınmamak için kılık değiştirerek gezmek
Tekerine çomak sokmak;Birinin yolunda giden işini engellemek, aksatmak gibi davranışlarda bulunmak
Temcit pilavı gibi ısıtıp ısıtıp koymak;Bir meseleyi sürekli anlatmak, yeni bir şeymiş gibi birçok defa söz konusu etmek
Temize çıkmak;Bir kimsenin suçsuz olduğu anlaşılmak
Tencerede pişirip kapağında yemek;Zor geçinmek, olanıyla yetinmek
Tencere yuvarlanmış kapağını bulmuş;İki değersiz kişi bir araya gelmiş, birleşmiş, yakışmışlar birbirlerine
Tepeden bakmak;Küçümsemek, kendini üstün görmek
Tepeden tırnağa;Her yanı, baştan aşağı, bütün vücudu
Tepesi atmak;Çok sinirlenmek, birden öfkelenmek
Tepesine binmek;Şımarıklığı sebebiyle her istediğini yapmak, yaptırmak
Tepe tepe kullanmak;Yıpranacağını, eskiyeceğini düşünmeden, sakınmadan istediği gibi kullanmak
Ter dökmek;Bir işi yapmak için çok zahmet, zorluk çekmek
Tereciye tere satmak;Birine çok iyi bildiği bir konuda bilgi vermeye çalışmak
Tere yağından kıl çeker gibi;Hiç kimseye zarar vermeden, çok kolaylıkla kimseye hissettirmeden, kimi sorumluluklardan kurtularak
Ters tarafından kalkmak;Aksi, huysuz ve ters olmak
Ters yüz geri dönmek;İstediğini elde edemeden, eli boş dönmek
Tetikte olmak;Her an uyanık ve hazır bulunmak
Tez canlı;Aceleci, sabırsız, beklemeye dayanamayan
Tez elden;Çabucak, bir an önce, çarçabuk
Tezkeresini eline vermek;Kovmak, işten atmak, işine son vermek
Tıka basa doldurmak;Doldururken çok bastırıp sıkıştırmak, hiç boş yer bırakmamak
Tıka basa yemek;Haddinden fazla yemek, çok yemek, mideyi rahatsız edecek kadar çok yemek
Tok evin aç kedisi;Varlıklı olduğu hâlde doymayan, ihtiyacı olmadığı hâlde aç gözlülük eden, her gördüğüne sahip olmak isteyen (kimse)
Tok gözlü;"Mala, paraya, yiyeceğe düşkün olmayan; cömert"
Tok sözlü;özünü esirgemeden, çekinmeden, hatır gönül dinlemeden söyleyen
Tongaya basmak;Tuzağa düşmek
Topa tutmak;Bir kimseye kırıcı, ağır sözler söylemek
Topun ağzında;Tehlikeye, saldırıya en yakın yerde olmak
Topu topu;olup olacağı, yalnızca, hepsi
Toz kondurmamak;Bir şeyi kusursuz göstermek, onda bir kusurun olabileceğini kabul etmemek
Toz olmak;Ortadan kaybolmak, kaçmak, uzaklaşmak
Toz pembe görmek;"Aşırı iyimser olmak; hemen her aksaklığı, üzücü durumları iyimserlikle karşılamak"
Tozu dumana katmak;Ortalığı altüst etmek, karışıklığa yol açmak, gürültü patırtı çıkarmak
Turnayı gözünden vurmak;Hiç beklenmedik bir kazanç sağlama imkanını ele geçirmek
Turp gibi;Çok sağlıklı, sağlam, rahatı yerinde
Turşusu çıkmak;Çok yorulmak
Turşusunu kurmak;Bir şeyi kullanmak, harcamak gerekirken kıyamamak
Tuttuğu dal elinde kalmak;Dayandığı, güvendiği şey önemini kaybederek işe yaramaz hâle gelmek
Tuttuğunu koparmak;Her girişiminden başarıyla çıkmak, her işi becermek
Tutunacak dalı olmamak;Güveneceği, dayanacağı kimse bulunmamak
Tuz biber olmak;Bir üzüntünün acısını, bir kusurun ağırlığını daha da artırmak
Tuzla buz olmak;paramparça olmak
Tuzluya mal olmak;Oldukça çok para harcanarak sağlanmış olmak
Tuzu kuru;"Hiçbir derdi, sıkıntısı olmayan; kazancı yerinde olduğu için kaygılanmayan"
Tükürdüğünü yalamak;Verdiği sözden geri dönerek benliğini küçültmek
Türküsünü çağırmak;Birinin hoşuna gidecek davranış ortaya koymak, söz söylemek, onun tarafını tutmak
Tüyleri diken diken olmak;Tüyleri diken diken olmak
Ucu dokunmak;Bir işten biri zarar görür olmak, söylenen bir söz birine zarar vermek
Ucunu kaçırmak;Çıkmaza girmek, denetimi elinden kaçırmak
Ucu ortası belli olmamak;Bir işe, söze nereden başlanacağı kestirilememek
Ucunda bir şey olmak;Bir şeyde gizli bir amaç bulunmak
Ucu ucuna;Ancak yetişecek kadar
Ucuz atlatmak;Güç ve tehlikeli durumdan az bir zararla sıyrılmak
Uçan kuşa borcu olmak;Pek çok kişiye borçlu olmak
Uçan kuştan medet ummak;Pek sıkıntıda bulunup, bu sıkıntıdan kurtulmak için her türlü çareye, olmadık yerlere başvurmak, yardım istemek
Uçsuz bucaksız;Çok geniş
Ulu orta söz söylemek;Bir şeyin aslını bilmeden, düşünüp tartmadan, çekinmeden, açıktan açığa konuşmak
Ununu elemiş, eleğini asmış;Hayatta yapmak istediklerini yapmış, geri kalan ömrü süresince artık yapacak önemli bir işi kalmamış
Utancından yere geçmek;Çok utanmak, kimsenin yüzüne bakamayıp sanki saklanacak yer aramak
Uyku bastırmak;Aşırı derecede uykusu gelmek, uyuma isteği duymak
Uyku gözünden akmak;Çok uykusu gelmek, göz kapakları kapanmak
Uykusu kaçmak;Uyuması gerekirken herhangi bir sebepten ötürü uyuyamamak
Uykusunu almak;Gerektiği kadar uyumuş olmak
Uyku tulumu;Uykuyu çok seven kimse, çok uyuyan
Uyur uyanık;Yarı uykulu
Uzun etmek;Sözü uzatmak, tartışmayı sürdürmek
Uzun uzadıya;Çok ayrıntılı olarak, en ince noktalarına inerek
Üç aşağı beş yukarı;Az bir farkla, az fazla ya da az eksik olmak üzere, yaklaşık olarak
Üç buçuk atmak;Çok korkmak, korku içinde olmak, istenmeyen bir durum olacak diye korkup durmak
Ümidini kesmek;olacağını beklememek, kavuşamayacağını anlamak
Ümitsizliğe düşmek;Gerçekleşmeyeceğine, olmayacağına inanmak
Üst baş;Kılık kıyafet, giyim kuşam
Üste çıkmak;Suçlu olduğu halde suçsuz durumda olduğunu söyleyip karşısındakini suçlamak
Üstesinden gelmek;Becermek, üzerine aldığı işi başarmak, yapmak
Üst perdeden konuşmak;Üstünlük taslayarak konuşmak
Üstü başı dökülmek;Kılık ve kıyafeti çok eski olmak, perişan durumda bulunmak
Üstü kapalı konuşmak;Açık, kesin ifadeler kullanmadan konuşup dinleyenin kavrayışına bırakmak
Üstünde durmak;Bir işe önem vermek, o işle yakından ilgilenmek, uğraşmak
Üstüne almak;Alınmak, bir hareketin kendisine karşı yapıldığını sanarak kaygılanmak
Üstüne atmak;Kendi yaptığı bir suçu birine yüklemek
Üstüne basmak;Yerinde bir fikir beyan etmek
Üstüne bir bardak (soğuk) su içmek;O işten umudunu kesmek, o işin olacağına inanmamak, parasını ya da malını almaktan vazgeçmek
Üstüne varmak;Bir şeyi yapmasını zorlayarak istemek
Üstüne yıkmak;Kendi işlediği bir suçu başkasına yüklemek
Üzerine titremek;"Pek fazla sevgi, özen göstermek; zarar gelmesin diye itinalı davranmak"
Üzüm üzüm üzülmek;Haddinden fazla, çok üzülmek
Vadesi gelmek;Ömrü sona ermek, eceli gelmek, ölmek
Vakitli vakitsiz;Rastgele bir zamanda, gelişigüzel, uygun bir zamanı gözetmeden.
Vaktini öldürmek;Zamanını yararsız, gereksiz, boş işlerle ya da hiç iş yapmadan, boş yere geçirmek
Vaktini şaşmamak;Tam zamanında
Vara yoğa karışmak;Her şeye, üstüne lazım olsun olmasın her işe karışmak
Varlıkta darlık çekmek;Elinde her imkan olduğu halde bunlardan yararlanamamak, sıkıntıya düşmek
Vebali boynuna olmak;Bir işin günahını yüklenmek
Velveleye vermek;Gereksiz bir heyecana, telaşa düşürmek
Verip veriştirmek;Ağır sözler söylemek, ağzına ne gelirse söylemek
Vıdı vıdı etmek;Söylenip durmak, hemen her şeyi eleştirip beğenmediğini söyleyerek durmadan konuşmak, etrafındakileri rahatsız etmek
Vız gelip tırıs gitmek;Hiç önemsememek, aldırış etmemek
Viraneye çevirmek;Yakıp yıkmak, yıkıntı durumuna getirmek, harap etmek
Vurduğu yerden ses getirmek;çok kuvvetli vurmak
Vurdumduymaz Kör Ayvaz;Umursamaz, aldırmaz, duygusuz ve kayıtsız kimse
Vur patlasın çal oynasın;"Aşırı zevk ve eğlence; aşırı zevk ve eğlenceye düşkün kimsenin parasını bu yolda harcaması"
Vurucu güç;Çok etkin silahlarla donatılmış, özel eğitim görmüş askerî birlik
Vücuda getirmek;Oluşturmak, meydana getirmek, var etmek
Yabana atmak;Önem vermemek, önemsiz görüp dikkate almamak, üzerinde durmamak
Yabancılık çekmek;Bir iş ya da çevrede yabancı olmaktan dolayı ortaya çıkan zorlukların etkisinde kalmak
Ya bu deveyi gütmeli, ya bu diyardan gitmeli;Bu işi mutlaka yapmalısın, başka yolu yok, aksi taktirde burada kalamazsın
Ya devlet başa, ya kuzgun leşe;Giriştiğim iş beni ya büyük bir varlığa ve mevkiye ulaştıracak ya da mahvedecek, batıracak
Yağcılık etmek;Dalkavukluk etmek, övmek, pohpohlamak
Yağlı ballı olmak;Araları çok iyi, içli dışlı, samimi olmak
Yağlı kapı;Çalıştırdığı kimselere bol kazanç sağlayan kimse, kuruluş, aile ya da yer
Yağmurdan kaçarken doluya tutulmak;Bir tehlikeden, güç bir durumdan kaçarken daha kötüsüyle karşılaşmak
Yağmur yağarken küpünü doldurmak;Kazanma fırsatı varken ondan yararlanıp para veya mal edinmek
Yakadan atmak;Savıp kurtulmak, başından atmak
Yaka paça;Hiçbir itiraz dinlemeden, zorla, kuvvet kullanarak
Yakasına yapışmak;Hesap sormak ya da bir şey istemek için tutup bırakmamak
Yakasını bırakmamak;Bezdirecek kadar üstüne düşmek, ısrar etmek, yanından ayrılmamak
Yakasını kaptırmak;Bir şeyin, bir kimsenin etkisinden kendisini kurtaramamak, ona bağlanmış olmak
Yaka silkmek;"Bıkıp usanmak; bir iş, durum, yer ya da kimsenin olumsuz yanlarından tedirginlik duyduğunu belirtmek"
Yakayı ele vermek;Yakalanmak, kaçamayarak ele geçmek
Yakayı kurtarmak;Umulmazken bir işten ya da kimseden kurtulmak, kaçmak
Yakışık almamak;Yerinde olmamak, uygun düşmemek, yaraşmamak
Yalancısı olmak;Doğruluğu bilinmeyen, inanılmayacak sözleri bir başkasından işiterek söylemiş olmak
Yalan dolan;Hile, düzen, dalavere, yolsuz davranış
Yan bakmak;Beğenmeyerek, kötü niyetle, düşmanca bakmak
Yan çizmek;Kendisine yüklenen bir görevden kaçmak
Yan gelip yatmak;Yapacak işleri olduğu hâlde yapmamak, rahatına bakmak, keyfince yaşamak
Yangına körükle gitmek;Anlaşmazlığı, gerginliği, kargaşalığı artırıcı, her iki tarafı kışkırtıcı söz ve davranışlarda bulunmak
Yan gözle bakmak;Göz ucuyla bakmak
Yanına bırakmamak;Kendisine yapılan kötülüklerin öcünü almak, cezasını sert karşılıklarla vermek
Yanına (kâr) kalmak;Kendisinden öç alınmamak, yaptığı kötülük sert karşılık görmemek, cezasız kalmak
Yanından bile geçmemiş;Hiç ilgisi yok, en ufak benzerliği bile yok
Yanlış kapı çalmak;İsteğinin yapılamayacağı bir yere başvurmak
Yan tutmak;Taraflardan birini desteklemek
Yan yan bakmak;Düşmanca, kötü niyetle bakmak
Yapmadığını bırakmamak;Bütün kötülükleri yapmak, eziyet etmek
Yara açmak;Büyük dert, acı, üzüntü vermek
Yarı buçuk;Tam değil, çok az, tamamlanmamış, baştan savma
Yarım ağızla;İsteksizce, istemeye istemeye, gönülsüzce
Yarım yamalak;Gelişigüzel, üstünkörü, eksik ve kusurlu
Yarından tezi yok;En kısa zamanda, çok çabuk, geciktirmeden
Yarı yolda bırakmak;Verilen desteği, yapılan yardımı sonuna kadar götürmemek
Ya sabır çekmek;Kötülüklere, sıkıntılara, üzücü olaylara karşı tepki göstermemeye çalışıp Allah’tan kendisine sabır vermesini istemek
Yaşını başını almış;Yaşı epeyce ilerlemiş olmak, yaşlanmış veya olgunlaşmış olmak
Yaşını içine akıtmak;"Hissettiği acıyı, ızdırabı, üzüntüyü belli etmemek; ağlamak isteğini bastırmak"
Yaş tahtaya basmamak;Kolay kolay tuzağa düşmemek, uyanık davranmak
Yatağa düşmek;Hastalık yüzünden yatmak zorunda kalmak, ayağa kalkamayacak durumda olmak
Yataklık etmek;Bir suçluya yardım etmek, onu gizlemek, barındırmak
Yatak yorgan yatmak;Çok hasta olmak
Yaygarayı basmak;Bağırıp çağırmak, önemli bir nedeni olmadığı hâlde feryat etmek
Yaz boz tahtasına çevirmek;Bir konuda birbirine uymayan kararlar almak, kararsızlık yüzünden bir konuda sık sık fikir değiştirmek
Yedi düvel; herkes, bütün dünya
Yediden yetmişe;En büyüğünden en küçüğüne, eli ayağı tutan herkes
Yedi iklim dört bucak;Hemen her yer, bütün dünya
Yedi kat yabancı;El, ne akraba ne tanıdık, hiçbir yakınlığı yok
Yeğ tutmak;Bir şeyi bir şeyden daha önemli görüp tercih etmek
Yelkenleri suya indirmek;"Israrından, iddiasından, direnmekten vazgeçip karşısındakinin dediğini kabul etmek; yüksekten atıp tutmayı bırakarak yumuşamak"
Yerden yere çalmak;Çok hırpalamak, acınacak duruma düşürmek, zor durumlarda bırakmak
Yere bakan yürek yakan;Uslu, uysal, sessiz görünüp gizliden gizliye ve sinsice dolap çeviren, kötülük yapan kimse
Yere göğe sığdıramamak;Çok önem vermek, nasıl ağırlayacağını ve memnun edip mutlu kılacağını bilememek
Yer etmek;İz bırakmak
Yerinde saymak;Hiç gelişme, ilerleme gösterememek
Yerinde yeller esmek;Yok olmak, artık bulunmamak
Yerin dibine geçmek;Çok utanmak, sıkılmak
Yerini doldurmak;Daha önce görevinden ayrılan, yerine geçtiği biri kadar başarılı olmak
Yeri yurdu belirsiz;"Serseri; ne iş yaptığı, nerde kaldığı, nereli olduğu bilinmeyen"
Yerle bir etmek;Bir yeri yakıp yıkmak, tahrip etmek, temeline kadar söküp dağıtmak
Yerli yersiz;Uygun olsun olmasın, uygun zamanı kollamadan
Yer yarılıp içine girmek;Yitirilen şey bir türlü bulunamamak
Yer yerinden oynamak;Bir olay toplumda telâş, heyecan, gürültü, patırtı, kargaşa oluşturmak
Yeşil ışık yakmak;Bir şeyin olmasına izin vermek
Yılan hikâyesi;Bir türlü sonuca bağlanamayan, çözümlenemeyen, uzayıp giden (mesele ya da iş)
Yılanın kuyruğuna basmak;Zararı dokunacak, kötülük yapacak bir kimseye ilişmek ya da sataşmak yoluyla fırsat vermek
Yıldırımları (veya şimşekleri) üstüne çekmek;Kimi davranışlarıyla pek çok kimseyi kızdırarak eleştirilere, saldırılara yol açmak
Yıldızı barışmamak;Aralarında görüş, düşünce ve duygu ayrılıkları bulunup birbirlerinden hoşlanmamak, birbirleriyle iyi geçinmemek, anlaşıp uyuşamamak
Yıldızı parlamak;Çok başarılı olup herkesin dikkatini çekecek duruma gelmek, ün kazanmak
Yıldızı sönmek;Ününü ve itibarını kaybetmek
Yok pahasına;Son derece ucuz, değerinin altında bir fiyata
Yola gelmek;Ters tutumunu düzeltmek, uslanmak, istenilen biçimdeki davranışı kabul etmek
Yola getirmek;Birinin bir konudaki ters tutumunu düzeltmek
Yol aramak;Bir meseleye çare bulmaya çalışmak, imkân aramak
Yol bulmak;Bir çözüm, bir çare bulmak
Yol geçen hanı;Hemen herkesin girip çıktığı, uğradığı yer
Yol göstermek;Rehberlik etmek, yolu bilmeyene tarif etmek, nasıl gidileceğini anlatmak
Yol iz bilmemek;Bulunduğu yerde yabancı olup gideceği yolu ve yeri bilmemek
Yolu düşmek;"Yolu üzerinde bulunan o yerden geçmesi gerekmek; o yer, yolu üzerinde bulunmak"
Yoluna girmek;İstenilen biçimi almak, gerekli olan şekilde gelişmek
Yoluna koymak;Bir işi olumlu bir duruma sokmak, istenilen şekle getirmek
Yolunu beklemek;Gelmesini beklemek
Yolunu bulmak;Çözüme ulaşmak, gereken çareyi bulmak
Yolunu sapıtmak;Kötü yola düşmek, doğru yoldan ayrılmak
Yolunu yapmak;Bir işi olumlu sonuca ulaştıracak ya da mümkün kılacak girişimde bulunup hazırlık yapmak veya tedbir almak
Yol yordam;Bir şey, davranış ya da yapışın usul ve kuralları
Yufka yürekli;Çok duygulu olup olaylardan hemen etkilenip ağlayan, çok acıyan, üzülen
Yukarı tükürsem bıyık, aşağı tükürsem sakal;İki davranış, iki kimse, iki karşıt şey arasında bir tercih yapamama zorluğu
Yumuşak yüzlü;Kendisinden istenilenleri geri çevirmeyen, kimseyi gücendirmek istemeyen kimse
Yuvarlak hesap;Ayrıntıya girmeden, bir bütün sayıya yaklaşık olarak tamamlanabilen hesap
Yuvarlanıp gitmek;Eldeki imkânlar içinde hayat sürmek
Yük altına girmek;Sorumluluk gerektiren, ağır bir görevi kabul etmek
Yükseklerde dolaşmak;Elde edilmesi zor şeyler istemek
Yüksek perdeden konuşmak;Yapılması güç şeyleri yapacakmış gibi abartılı konuşmak
Yüksekten atmak;Yapamayacağı şeyleri söylemek
Yükte hafif pahada ağır;Taşınması kolay, değerli eşya
Yükün altından kalkmak;Üzerine aldığı ağır bir işi başarmak
Yüreği ağzına gelmek;Birden bire çok korkmak, kalbi yerinden fırlayacakmış gibi hızlı hızlı atmak
Yüreği cız etmek;Çok acımak, içi sızlamak
Yüreği çarpmak;Korku ve kaygı duyup merak etmek, bu sebeple tedirgin olmak
Yüreği dayanmamak;Çok acı duymak, acısına katlanamamak
Yüreği hop etmek;Bir olay karşısında birdenbire korkup heyecanlanmak
Yüreği ferahlamak;kaygıdan, sıkıntıdan kurtulmak
Yüreğine su serpilmek;Duyduğu üzüntüyü hafifletecek bir haberle karşılaşmak, ferahlamak
Yüreği küt küt atmak;Korku ve heyecandan yüreği hızlı hızlı çarpmak
Yüreği pek;Korkusuz, çok cesaretli
Yüreği yanmak;Çok fazla acımak
Yüz bulmak;Kendisine gösterilen hoşgörüden yararlanma yoluna gidip şımarmak, hoşa gitmeyen davranışlarda bulunmak
Yüze gülmek;Yalandan dost görünmeye çalışmak
Yüze vurmak;İşlediği bir suçu ya da kabahati birinin açıkça yüzüne söyleyip onun utanmasına yol açmak
Yüze yüze kuyruğuna gelmek;Uzun süren bir işin sonuna yaklaşmış olmak
Yüz göz olmak;Senli benli olmak ve birbirinden çekineceği kalmamak, aradaki mesafe kalkmış olmak
Yüz karası;Ailesi, çevresi için utanç verici bir iş yapmak
Yüz kızartıcı;Çok utandırıcı hareket veya durum
Yüzü ak;"Suçu, utanılacak durumu bulunmamak; temiz ve saf olmak"
Yüzü kalmamak;Bir kimseye karşı pek borçlu bulunmak ve ondan artık bir şey isteyecek hâli kalmama
Yüzü kara;Utanacak bir durumu olan
Yüzünden düşen bin parça olmak;Sıkıntısı, öfkesi ve küskünlüğü yüz ifadesinden belli olmak
Yüzünden okumak;Neler hissettiğini, durumunu yüzünden anlamak
Yüzüne kan gelmek;"sağlığına kavuştuğu yüzünün kızarmasından belli olmak; soluk rengi geçmek"
Yüzünü ekşitmek;Rahatsız olduğunu, hoşnut olmadığını, öfke duyduğunu yüz ifadesiyle belli etmek
Yüzünü gören cennetlik;Uzun bir süre ortalıkta görünmeyen kimseler
Yüzünü kara çıkarmak;Yaptığı bir iş ya da davranışla birini utandırmak, mahçup duruma düşürmek
Yüzünün akıyla çıkmak;Bir işe girip o işten başarı elde ederek, onurunu zedelemeden, utanılacak bir duruma düşmeden çıkmak
Yüzü sirke satmak;Yüzünden hoşnut olmadığı anlaşılmak, asık yüzlü olmak
Yüz üstü bırakmak;Tamamlanmamış bir durumda, yarı yolda bırakmak
Yüzü suyu hürmetine;Bir kimsenin hatırına değer verildiği için
Yüzü tutmamak;Bir şey istemeye ya da söylemeye çekinmek, cesaret edememek
Yüz vermek;"Her istediğini yerine getirerek şımartmak; yakınlık göstererek, hoş görülü davranarak ölçüsüz hareketler yapmasına sebep olmak"
Yüz yüze bakmak;Yakın ilişki içinde bulunup, bu ilişkileri bir süre devam etmek
Zahmet çekmek;Sıkıntı, güçlük, yorgunluk ve eziyetlere katlanmak
Zahmete sokmak;"Birine sıkıntı, güçlük ve yorgunluk vermek; masraf ettirmek"
Zaman kollamak;Uygun bir fırsat beklemek
Zehir etmek;Bir şeyin tadını kaçırmak, iyiyken kötü duruma sokmak
Zehir zemberek;İnsanın içine işleyen, onurunu zedeleyen çok acı söz
Zemin hazırlamak;Bir işin gerçekleştirilmesi için uygun ortam hazırlamak
Zerre kadar;Hiç denecek kadar az
Zeval vermemek;Zarar ziyan vermemek, korumak
Zevkten dört köşe olmak;Çok mutlu olduğu anlaşılmak, çok sevinip keyiflenmek ve aşırı zevk duymak
Zeytinyağı gibi üste çıkmak;Bir konuda haksız olduğunu kabullenmeyerek kurnazlıkla kendini haklı ya da suçsuz çıkarmaya çalışmak
Zıttına gitmek;"Karşısındakini sinirlendirmek, sinirini bozmak; bir şeyin tersine hareket etmek"
Zılgıt yemek;Azarlanmak, paylanmak
Zınk diye durmak;Birdenbire, aniden durmak
Zırnık bile koklatmamak;Az da olsa, en ufak bir şey de olsa vermemek
Zıvanadan çıkmak;Çok sinirlenip öfkelenmek, taşkınca hareketlerde bulunmak
Zihni bulanmak;Sağlıklı düşünemez olmak, olaylar arasındaki bağlantıyı kaybetmek, ne yapacağını şaşırmak
Zihnini bulandırmak;Kuşkulandırmak
Zihnini kurcalamak;Aklına takılan bir şeyi anlamaya, kavramaya çalışmak
Zil takıp oynamak;Çok sevinmek
Ziyafet çekmek;Konukları yemek vererek ağırlamak
Zokayı yutmak;Aldatılıp zarara sokulmak
Zora binmek;İş güçleşmek, ancak zor kullanarak halledilecek hâle gelmek
Zora gelmemek;Sıkıntıya ve baskıya katlanamamak, güçlüğe sabredememek
Zoru olmak;Kendisini zorlayan bir sıkıntısı, derdi olmak
Zurnanın zırt dediği yer;Yapılmakta olan işin en hassas, en önemli noktası
